Country,Service Provider Name,Encapsulation,Multiplexing    (LLC or VC),VPI,VCI,
APAC,,,,,,
Australia,iiNet,PPPoE RFC2516 Embedded,LLC,8,35,
,Internode,PPPoE RFC2516 Embedded,LLC,8,35,
,Optus,PPPoE RFC2516 Embedded,LLC,8,35,
,Primus,PPPoE RFC2516 Embedded,LLC,8,35,
,Soul,PPPoA - RFC2364,VCMUX,8,35,
,Telstra,PPPoE RFC2516 Embedded,LLC,8,35,
,TPG,PPPoE RFC2516 Embedded,LLC,8,35,
,Default-Other,PPPoE RFC2516 Embedded,LLC,8,35,
,Exetel,PPPoA,LLC/VC,8,35,DGN1000v3 Beta tester
,AAPT,N/A,VC,8,35,DGND3700v2 Beta tester
,Adam,PPPoE,VC/LLC,8,35,DGND3700v2 Beta tester
,Apex,N/A,VC,8,35,DGND3700v2 Beta tester
,Grapevine,N/A,LLC,8,35,DGND3700v2 Beta tester
,People Telcom,PPPoA,VC,8,35,
,Clubtelco,PPPoA,LLC,8,35,D6200 Beta tester
India,AIRTEL,PPPoE RFC 2516,LLC,1,32,
,BSNL,PPPoE RFC 2516,LLC,0,35,
,MTNL,PPPoE RFC 2516,LLC,0,32,
,Reliance (BroadBand),1483 Bridged,LLC,0,35,
,TataIndicom (BroadBand),PPPoE RFC 2516,LLC,0,33,
,TataIndicom (BroadBand),PPPoE RFC 2516,LLC,1,33,
,TataIndicom (BroadBand),N/A,LLC,0,32,India Support
,TataIndicom (BroadBand),N/A,LLC,0,35,India Support
,Inedit,PPPoE,LLC,0,35,T&W
New Zealand,Clearnet,PPPoA,LLC,0,100,
,IHug,PPPoA,VC,0,100,
,Infogen,PPPoA,VC,0,100,
,Kiwi Online (KOL),PPPoA,VC,0,100,
,Orcon ADSL,PPPoA,VC,0,100,
,Paradise,PPPoA,VC,0,100,
,Slingshot,PPPoA,VC,0,100,
,Telecom NZ,PPPoA,VC,0,100,
,Telstra Clear,PPPoA,VC,0,100,
,Xnet (World Exchange),PPPoA,VC,0,100,
,Xtra,PPPoA,VC,0,100,
,Default-Other,PPPoA - RFC2364,VCMUX,0,100,
Singapore,PacificNet,PPPoE,LLC,0,100,
,Singnet,PPPoE,LLC,0,100,
Philippine,PLDT,RFC 1483 Bridged,LLC,0,100,
,TelPlus,Enet,LLC,0,100,T&W
Hongkong,PCCW,PPPoE,LLC,1,32,
Malaysia,Streamyx,PPPoE,LLC,0,35,
Indonesia,"telkom DSLAM ""Alcatel""", RFC 2364  PPPoA,LLC,8,35,
,"telkom DSLAM ""ericsson""",PPPoE,LLC,0,35,
,"telkom DSLAM ""Huawei""",PPPoE,LLC,0,35,
,"telkom DSLAM ""Siemens""", RFC 2364  PPPoA,LLC,1,33,
,Speedy ,PPPoE,LLC,8,81,
,default-other, RFC 2364  PPPoA,LLC,0,35,
Vietnam,FPT,PPPoE,LLC,0,33,
,NATNAM,PPPoE,LLC,0,33,
,SPT,PPPoE,LLC,0,33,
,Viettel,PPPoE,LLC,8,35,
,VNN(in Hanoi),PPPoE,LLC,0,35,
,VNN(in HAM),PPPoE,LLC,8,38,
,default-other,PPPoE,LLC,0,35,
, VIET THONG,N/A,N/A,8,35,T&W
, VIET THONG,N/A,N/A,8,36,T&W
, VIET THONG,N/A,N/A,8,37,T&W
, VIET THONG,N/A,N/A,8,39,T&W
, VIET THONG,N/A,N/A,8,38,T&W
, VIET THONG,N/A,N/A,8,40,T&W
, VIET THONG,N/A,N/A,8,41,T&W
, VIET THONG,N/A,N/A,8,42,T&W
Thailand,CAT-Telecom,PPPoE,LLC,0,35,
,CS-Loxinfo,PPPoE,LLC,0,35,
,Samart,PPPoE,LLC,0,35,
,TOT,PPPoE,LLC,1,32,
,TRUE Internet,PPPoE,LLC,0,100,
,TT&T,PPPoE,LLC,0,33,
,default-other,PPPoE,LLC,0,35,
,3BB,PPPoE,LLC,0,33,T&W
China,N/A,N/A,N/A,0,44,RTK
,N/A,N/A,N/A,8,35,RTK
,N/A,N/A,N/A,8,32,RTK
,N/A,N/A,N/A,0,35,RTK
,N/A,N/A,N/A,8,48,RTK
EMEA,,,,,,
Austria,Tiscali,RFC 2364 PPPoA,LLC,8,48,
,UTA,RFC 2516 PPPoE,LLC,0,32,
,Utanet,RFC 2364 PPPoA,LLC,8,48,
,A1,N/A,N/A,8,48,DGND3700v2 Beta tester
Belgium,Academic Broadband,PPPoE,LLC,8,35,
,Belgacom,PPPoE,LLC,8,35,
,Scarlet,PPPoE,LLC,8,35,
,Skynet,PPPoE,LLC,8,35,
,Tele2,PPPoE,LLC,8,35,
,Default-Other,PPPoE,LLC,8,35,
Czech Republic,O2,RFC 2516 PPPoE,LLC,8,48,
,Tiscali,RFC 2516 PPPoE,LLC,8,48,
,T-Mobile,RFC 2516 PPPoE,LLC,8,48,
Denmark,Arrownet,RFC 1483 Bridged,LLC,0,35,
,ComX,RFC 1483 Bridged,LLC,0,35,
,Cybercity,RFC 2364 PPPoA,VC,0,35,
,Dansk kabel TV,RFC 1483 Bridged,LLC,0,35,
,Galnet,RFC 1483 Bridged,LLC,0,35,
,Get2Net,RFC 1483 Bridged,LLC,0,35,
,Stofa Net,RFC 1483 Bridged,LLC,0,35,
,TDC-Privat,RFC 1483 Bridged,LLC,0,35,
,TDC-erhverv,RFC 1483 Bridged,LLC,0,35,
,Tele2,RFC 1483 Bridged,LLC,0,35,
,Telelet,RFC 1483 Bridged,LLC,0,35,
,Tiscali,RFC 2364 PPPoA,VC,0,35,
France,9Online ,RFC 2364 PPPoA,VC,8,35,
,Alice ,RFC 2364 PPPoA,LLC,8,35,
,AOL ,RFC 2364 PPPoA,VC,8,35,
,Cegetel ,RFC 2364 PPPoA,VC,8,35,
,Claranet ,RFC 2364 PPPoA,VC,8,35,
,Club-Internet ,RFC 2364 PPPoA,VC,8,35,
,Free ,RFC 2364 PPPoA,VC,8,35,
,HRNet ,RFC 2364 PPPoA,VC,8,35,
,Nerim ,RFC 2364 PPPoA,VC,8,35,
,Neuf ,RFC 2364 PPPoA,VC,8,35,
,Nordnet ,RFC 2364 PPPoA,VC,8,35,
,Orange ,RFC 2364 PPPoA,VC,8,35,
,Tele2 ,RFC 1483 PPPoE,LLC,8,35,
,Tiscali ,RFC 2364 PPPoA,VC,8,35,
,Default-Other ,RFC 2364 PPPoA,VC,8,35,
,SFR,PPPoE,VC,8,35,D6200 Beta tester
,TalkTalk,N/A,VC,0,38,DGND3700v2 Beta tester
,Bouygues,N/A,LLC,8,36,DGND3700v2 Beta tester
,OVH,PPPoE/PPPoA,LLC/VC,8,35,D6200 Beta tester
,Free,IPoA,VC,8,36,D6200 Beta tester
,N/A,N/A,N/A,8,36,RTK
Germany,1 & 1,PPPoE,LLC,1,32,
,AOL,PPPoE,LLC,1,32,
,Arcor,PPPoE,LLC,1,32,
,Compuserve,PPPoE,LLC,1,32,
,Congster,PPPoE,LLC,1,32,
,Freenet,PPPoE,LLC,1,32,
,GMX,PPPoE,LLC,1,32,
,Hanse Net - Alice,PPPoE,LLC,1,32,
,HTP,PPPoE,LLC,1,32,
,Lycos,PPPoE,LLC,1,32,
,NetCologne,PPPoE,LLC,8,35,
,Tiscali,PPPoE,LLC,1,32,
,T-Online,PPPoE,LLC,1,32,
,Versatel,PPPoE,LLC,1,32,
,Default-Other,PPPoE,LLC,1,32,
,Deutsche Telekom,PPPoE,LLC,1,32,DGN1000v3 Beta tester
,O2,PPPoE,N/A,1,32,DGN1000v3 Beta tester
,German Telekom,PPPoE,LLC,1,32,DGN1000v3 Beta tester
,mnet Germany,PPPoE,LLC,1,32,DGN1000v3 Beta tester
,Vodafone,PPPoE,LLC,1,32,D6200 Beta tester
,Alice,PPPoE,LLC,1,32,D6200 Beta tester
Hungary,Actel,RFC 2516 PPPoE,LLC,1,32,
,GTS Datanet,RFC 2516 PPPoE,LLC,1,32,
,Invitel,RFC 2516 PPPoE,LLC,1,32,
,T-Home,RFC 2516 PPPoE,LLC,1,32,
Italy,Albacom,PPPoA - RFC2364,VCMUX,8,35,
,Aruba,PPPoA - RFC2364,VCMUX,8,35,
,Bisnet,RFC 1483 Routed,LLC,8,35,
,Fastweb,DHCP,LLC,8,36,DGN1000v3 Beta tester
,MC-link,PPPoA - RFC2364,VCMUX,8,35,
,Nextra,PPPoA - RFC2364,VCMUX,8,35,
,Telecom Italia,PPPoE,LLC,8,35,
,TELE2,PPPoE,LLC,8,35,
,Telvia,PPPoA - RFC2364,VCMUX,8,35,
,Tiscali,PPPoA - RFC2364,VCMUX,8,35,
,Wind,PPPoE,LLC,8,35,
,Default-Other,PPPoA - RFC2364,VCMUX,8,35,
,alice adsl,PPPoE,VC,8,35,DGN1000v3 Beta tester
,Libero Infostrada,PPPoE,LLC,8,35,DGN1000v3 Beta tester
,Optus,N/A,VC,8,35,DGN3700v2 Beta tester
,Twt,IPoA,LLC,8,35,D6300A Beta tester
,Acantho,N/A,VC,8,35,D6300A Beta tester
,Infostrada,PPPoE,VC,8,35,D6200 Beta tester
,KPN Qwest Italia,IPoA,LLC,8,35,D6300A Beta tester
Luxembourg,Default-Other,PPPoE,LLC,8,35,
Netherlands,12Move - KPN,RFC2364 PPPoA,VC,8,48,
,12Move - Tiscali,RFC1483 Bridged,LLC,0,34,
,bART,RFC1483 Bridged,LLC,0,35,
,BBnet,RFC1483 Bridged,LLC,0,35,
,CistroN,RFC1483 Bridged,LLC,0,35,
,Concepts ICT - BBnet,RFC1483 Bridged,LLC,0,35,
,Concepts ICT - KPN,RFC2364 PPPoA,VC,8,48,
,Concepts ICT - Versatel,RFC1483 Bridged,LLC,0,32,
,Dataweb,RFC1483 Bridged,LLC,0,32,
,Demon - BBnet,RFC1483 Bridged,LLC,0,35,
,Demon - Tiscali,RFC1483 Bridged,LLC,0,34,
,Demon - Versatel,RFC1483 Bridged,LLC,0,32,
,Euronet,RFC2364 PPPoA,VC,8,48,
,Eweka,RFC1483 Bridged,LLC,0,35,
,Fiberworld - BBnet,RFC1483 Bridged,LLC,0,35,
,Fiberworld - KPN,RFC2364 PPPoA,VC,8,48,
,Freeler,RFC2364 PPPoA,VC,8,48,
,HCC-Net,RFC2364 PPPoA,VC,8,48,
,Hetnet,RFC2364 PPPoA,VC,8,48,
,IAE,RFC1483 Bridged,LLC,0,35,
,InterNLnet - BBnet,RFC1483 Bridged,LLC,0,35,
,InterNLnet - KPN,RFC2364 PPPoA,VC,8,48,
,KPN,RFC2364 PPPoA,VC,8,48,
,KPN,RFC2364 PPPoA,VC,2,32,
,Ladot,RFC1483 Bridged,LLC,0,35,
,Orange/Online,RFC1483 Bridged,LLC,8,35,
,Planet,RFC2364 PPPoA,VC,8,48,
,Publish Net,RFC1483 Bridged,LLC,0,35,
,Quicknet,RFC1483 Bridged,LLC,0,34,
,Scarlet - BBnet,RFC1483 Bridged,LLC,0,35,
,Scarlet - KPN,RFC2364 PPPoA,VC,8,48,
,Scarlet - Tiscali,RFC1483 Bridged,LLC,0,34,
,Solcon - KPN,RFC2364 PPPoA,VC,8,48,
,Solcon - Tiscali,RFC1483 Bridged,LLC,0,34,
,Solcon - Versatel,RFC1483 Bridged,LLC,0,32,
,Solcon BBnet,RFC1483 Bridged,LLC,0,35,
,Speedlinq - BBnet,RFC1483 Bridged,LLC,0,35,
,Speedlinq - KPN,RFC2364 PPPoA,VC,8,48,
,Speedlinq -Tiscali,RFC1483 Bridged,LLC,0,34,
,SpeedXS,RFC1483 Bridged,LLC,0,35,
,Tele2 - BBnet,RFC1483 Bridged,LLC,0,35,
,Tele2 - KPN,RFC2364 PPPoA,VC,8,48,
,Tele2 - Versatel,RFC1483 Bridged,LLC,0,32,
,Telebyte - BBnet,RFC1483 Bridged,LLC,0,35,
,Telebyte - Tiscali,RFC1483 Bridged,LLC,0,34,
,Tiscali/Telfort,RFC1483 Bridged,LLC,0,34,
,Trido Internet - BBnet,RFC1483 Bridged,LLC,0,35,
,Trido Internet - KPN,RFC2364 PPPoA,VC,8,48,
,TweakDSL,RFC1483 Bridged,LLC,0,35,
,Unet - BBnet,RFC1483 Bridged,LLC,0,35,
,Unet - KPN,RFC2364 PPPoA,VC,8,48,
,Wanadoo - KPN,RFC2364 PPPoA,VC,8,48,
,Wanadoo - Wanadoo,RFC1483 Bridged,LLC,8,35,
,Xenosite,RFC1483 Bridged,LLC,0,35,
,XS4all - BBnet,RFC1483 Bridged,LLC,0,35,
,XS4all - KPN,RFC2364 PPPoA,VC,8,48,
,XS4all - KPN,RFC2364 PPPoA,VC,2,32,
,Default-Other,PPPoA - RFC2364,VCMUX,8,48,
,Vodafonevast,PPPoE,LLC,0,34,D6200 Beta tester
,Telfort,N/A,LLC,0,34,D6200 Beta tester
Poland,Dialnet DSL,RFC 1483 Bridged mode,LLC,1,32,
,Multimo,RFC2516 PPPoE,LLC,0,35,
,Tele2,RFC 2516 PPPoE,LLC,0,35,
,Default-Other,PPPoA,VC,0,35,
,Netia (Internet Stacjonarny na linii TP - Annex A),RFC2364PPPoA/RFC2516PPPoE,VC/LLC,0,35,
,Netia (Annex B),RFC2516PPPoE,LLC,8,35,
,Orange,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,0,35,
,Telekomunikacja Polska (Neostrada),RFC2364PPPoA/RFC2516PPPoE,VC/LLC,0,35,
,T-Online (Internet Stacjonarny na linii TP),RFC2364PPPoA/RFC2516PPPoE,VC/LLC,0,35,
Russia,Combellga,RFC 2364 PPPoA,VC,8,63,
,Domolink CentrTelekom,RFC 2516 PPPoE,LLC,0,35,
,Jdsl Volgatelekom,RFC 2516 PPPoE,LLC,1,100,
,Stream,RFC 2516 PPPoE,LLC,1,50,
,Beltelecom,PPPoE,LLC,0,33,DGN1000v3 Beta tester
,MGTS,PPPoE,LLC,1,50,DGN2200v4 Beta tester
,Avangard-DSL,N/A,LLC,0,35,DGN2200v4 Beta tester
,N/A,N/A,N/A,0,44,RTK
,N/A,N/A,N/A,8,35,RTK
,N/A,N/A,N/A,8,32,RTK
,N/A,N/A,N/A,8,48,RTK
Saudi Arabia,STC,PPPoE,LLC,0,35,
,Default-Other,PPPoE,LLC,0,35,
Spain,Jazztel,PPPoA - RFC2364,LLC,8,35,
,Jazztel 20Megas,PPPoE - RFC2516,LLC,8,35,
,Orange,PPPoE,LLC,8,35,
,Tele2- Espa?a,PPPoA - RFC2364,VC,0,33,
,Telefonica IP Dinamica,PPPoE RFC2516,LLC,8,32,
,Telefonica IP Fija,IPoA,LLC,8,32,
,Ya.com,PPPoE RFC2516,LLC,8,32,
,Ya.comn IP Fija,IPoA,LLC,8,32,
,Default-Other,PPPoA,VC,8,35,
Sweden,BBB-Bostream,RFC 2516 PPPoE,LLC,8,35,
,Bredband2, RFC 1483 Bridged,LLC,8,35,
,Chello,RFC 1483 Bridged,LLC,8,35,
,Comhem,RFC 1483 Bridged,LLC,8,35,
,GlocalNet,RFC 2516 PPPoE (MTU 1492),LLC,8,35,
,NetAtOnce,RFC 1483 Bridged - dynamic,LLC,8,35,
,No Com, RFC 1483 Bridged,LLC,8,35,
,Ownit, RFC 1483 Bridged static ip,LLC,8,35,
,Skanova,RFC 1483 Bridged,LLC,8,35,
,Sky Com, RFC 1483 Bridged static ip,LLC,8,35,
,Spray,RFC 2516 PPPoE,LLC,8,35,
,Tele 2,PPPoE RFC2516 Embedded,LLC,8,35,
,Telia,RFC 1483 Bridge,LLC,8,35,
,Universal, RFC 1483 Bridged static ip,LLC,8,35,
,Vattenfalll,RFC1483 Bridged Static ip ,LLC,8,35,
,Default-Other,PPPoE RFC2516 Embedded,LLC,8,35,
,Ljusnet,N/A,LLC,8,35,DGN2200v4 Beta tester
,Bahnhof AB,N/A,LLC,8,35,D6200 Beta tester
Switzerland,Bluewin,RFC 2364 PPPoA,LLC,8,35,
,CyberNet,RFC 1483 PPPoE,LLC,8,35,
,Green,RFC 1483 PPPoE,LLC,8,35,
,Netstream,RFC 1483 PPPoE,LLC,8,35,
,Solonet,RFC 2364 PPPoA,LLC,8,35,
,Sunrise,RFC 1483 PPPoE,LLC,8,35,
,Swisscom,RFC 1483 PPPoE,LLC,8,35,
,Tele2,RFC 1483 PPPoE,LLC,8,35,
,TIC,RFC 2364 PPPoA,LLC,8,35,
,Tiscali,RFC 1483 PPPoE,LLC,8,35,
,Monzoon Networks,PPPoE,LLC,8,35,DGN1000v3 Beta tester
,N/A,N/A,N/A,0,34,RTK
Turkey,BiriNET,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,8,35,
,Doping,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,8,35,
,Kablonet,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,8,35,
,Metronet,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,8,35,
,Milleni,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,8,35,
,Quicknet,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,8,35,
,Smile,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,8,35,
,Superonline,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,8,35,
,TTNET,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,8,35,
,Turknet,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,8,35,
,Uydunet,RFC2364PPPoA/RFC2516PPPoE,VC/LLC,8,35,
Ukraine,Ukrtelekom,RFC 2516 PPPoE,LLC,1,32,
United Arab Emirates,Etisalat PPPoE Al Shamil,RFC 2516 PPPoE,LLC,0,50,
,Etisalat PPPoA Al Shamil,RFC 2364 PPPoA,LLC,0,50,
,Etisalat PPPoE Business One,RFC 2516 PPPoE,LLC,0,50,
,Etisalat PPPoA Business One,RFC 2364 PPPoA,LLC,0,50,
,Du Telecom,Automatic Configuration - DHCP,N/A,N/A,N/A,
,Du Telecom,Static IP,N/A,N/A,N/A,
,Default-Other,RFC 2516 PPPoE,VC,0,50,
United Kingdom,BT Broadband,PPPoA,VC,0,38,
,Carphone Warehouse,PPPoA,VC,0,38,
,Orange,PPPoA,VC,0,38,
,Sky,PPPoA,VC,0,38,
,Tiscali,PPPoA,VC,0,38,
,Virgin ADSL,PPPoA,VC,8,35,
,Default-Other,PPPoA,VC,0,38,
,O2,PPPoE,,0,38,DGN1000v3 Beta tester
,O2,N/A,LLC,0,101,DGN2200v4 Beta tester
,TalkTalk,PPPoA,VC,0,38,DGN1000v3 Beta tester
,PlusNet,PPPoA,VC/LLC,0,38,DGN1000v3 Beta tester
,Lightspeed,PPPoE,VC,8,36,DGN1000v3 Beta tester
,Zen,N/A,VC,0,38,DGN2200v3 Beta tester
,Be,RFC1483 (DHCP),LLC,0,101,D6300A Beta tester
,Eclipse,PPPoA,VC,0,38,D6200 Beta tester
,Bethere,IPoA,LLC,0,101,D6200 Beta tester
,N/A,N/A,N/A,0,101,RTK
Finland,Elisa Oyj,N/A,LLC,0,100,DGN1000v3 Beta tester
North America,,,,,,
Canada,Bell Canada (Eastern),PPPoE,LLC,0,35,
,Bell Canada (Western),PPPoE,LLC,0,32,
,Telus,DHCP,LLC,0,33,
,Default-Other,PPPoE,LLC,0,32,
United States,4DV.Net,PPPoA,VC,0,32,
,All Tel (1),PPPoE,LLC,0,35,
,All Tel (2),RFC 1483 Bridged,LLC,0,35,
,AOL,PPPoE,LLC,0,35,
,AT&T (1),PPPoE,LLC,0,35,
,AT&T (2),PPPoE,LLC,8,35,
,AT&T (3),RFC 1483 Bridged,LLC,0,35,
,AT&T (4),RFC 1483 Bridged,LLC,8,35,
,August.net (1),RFC 1483 Bridged,LLC,0,35,
,August.net (2),RFC 1483 Bridged,LLC,8,35,
,Casstel.Net,RFC 1483 Bridged,LLC,0,96,
,CenturyLink (1),PPPoE,LLC,8,35,
,CenturyLink (2),PPPoA,VC,0,32,
,CenturyLink (3),RFC 1483 Bridged,LLC,8,35,
,Coqui.net,PPPoA,LLC,0,35,
,Crocker Communication,PPPoE,LLC,0,35,
,Earthlink (1),PPPoE,LLC,0,35,
,Earthlink (2),PPPoE,LLC,8,35,
,Earthlink (3),PPPoA,LLC,0,32,
,Eastex,PPPA,LLC,0,100,
,Frontier,PPPoE,LLC,0,35,
,Grande Communications,PPPoE,LLC,1,34,
,GWI,RFC 1483 Bridged,LLC,0,35,
,Hotwire,RFC 1483 Bridged,LLC,0,35,
,Internet Junction,RFC 1483 Bridged,LLC,0,35,
,MegaPath (Covad),PPPoE,LLC,0,35,
,PVT,RFC 1483 Bridged,LLC,0,35,
,Qwest/CenturyLink,PPPoA,VC,0,32,
,Qwest/CenturyLink,PPPoA,LLC,0,32,
,Qwest/CenturyLink,PPPoE,LLC,0,32,
,Qwest/CenturyLink,RFC 1483 Bridged,LLC,0,32,
,Socket,PPPoE,LLC,8,35,
,Socket,PPPoE,LLC,0,35,
,Socket,RFC 1483 Bridged,LLC,0,35,
,Socket,RFC 1483 Bridged,LLC,8,35,
,Sonic,RFC 1483 Bridged,LLC,0,35,
,Spirit One,PPPoE,LLC,0,35,
,Sprint (1),PPPoA,LLC,0,35,
,Sprint (2),PPPoE,LLC,8,35,
,SureWest Communication (1),PPPoE,LLC,0,32,
,SureWest Communication (2),PPPoA,LLC,0,32,
,SureWest Communication (3),RFC 1483 Bridged,LLC,0,34,
,TDS Telecom,RFC 1483 Bridged,LLC,0,35,
,Toast.Net,PPPoE,LLC,0,35,
,Uniserve,RFC 1483 Bridged,LLC,0,33,
,URON,PPPoE,LLC,0,35,
,Verizon (1),PPPoE,LLC,0,35,
,Verizon (2),RFC 1483 Bridged,LLC,0,35,
,Default-Other,PPPoE,LLC,0,35,
,Windstream,PPPoE,LLC,0,35,DGN2200v4 Beta tester
,New Hope Telephone,N/A,LLC,0,35,DGND3700v2 Beta tester
,DSL Extreme,N/A,LLC,0,35,DGND3700v2 Beta tester
,Mediacom,N/A,LLC,0,35,DGND3700v2 Beta tester
,Blackfoot,N/A,LLC,0,100,DGND3700v2 Beta tester
,Time warner cable,PPPoA,LLC,8,35,D6200 Beta tester
,Bigriver,PPPoE,LLC,8,35,D6200 Beta tester
LATAM,,,,,,
Argentina,Default-Other,PPPoE,LLC,0,35,
Bolivia,Default-Other,PPPoE,LLC,0,35,
Brazil,Brasil Telecom (All other States),PPPoE,LLC,0,35,
,Brasil Telecom (Rio Grande do Sul State),PPPoE,LLC,1,32,
,CTBC,PPPoE,LLC,0,35,
,Telefonica,PPPoE,LLC,8,35,
,Telemar/Oi,PPPoE,LLC,0,33,
,Telemar/Oi,PPPoE,LLC,1,32,DGN1000v3 Beta tester
,Default-Other,PPPoE,LLC,0,35,
,Gvt-Global Village Telecom,PPPoE,LLC,0,35,DGN1000v3 Beta tester
,N/A,N/A,N/A,0,44,RTK
,N/A,N/A,N/A,8,32,RTK
,N/A,N/A,N/A,8,48,RTK
Chile,Default-Other,PPPoE,LLC,0,35,
Colombia,Default-Other,PPPoE,LLC,0,35,
Costa Rica,Default-Other,PPPoE,LLC,0,35,
Ecuador,Default-Other,PPPoE,LLC,0,35,
El Salvador,Default-Other,PPPoE,LLC,0,35,
Guatemala,Default-Other,PPPoE,LLC,0,35,
Honduras,Default-Other,PPPoE,LLC,0,35,
Mexico,Default-Other,PPPoE,LLC,0,35,
Nicaragua,Default-Other,PPPoE,LLC,0,35,
Panama,Default-Other,PPPoE,LLC,0,35,
Paraguay,Default-Other,PPPoE,LLC,0,35,
Peru,Default-Other,PPPoE,LLC,0,35,
Republica Dominicana,Default-Other,PPPoE,LLC,0,35,
Uraguay,Default-Other,PPPoE,LLC,0,35,
Venezuela,Default-Other,PPPoE,LLC,0,35,
